2016-10-27 15:56:57,721 [Worker-21] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.remind:controller:1.0.0-BUILD-SNAPSHOT @ C:\sts-bundle\final\final_project\pom.xml.
2016-10-27 15:56:58,316 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring-webmvc/${org.springframework.version}/spring-webmvc-${org.springframework.version}.pom
2016-10-27 15:56:58,317 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-webmvc:jar:${org.springframework.version} is missing, no dependency information available
2016-10-27 15:56:58,381 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax.servlet:javax.servlet-api:jar:${servlet.version} is missing, no dependency information available
2016-10-27 15:56:58,382 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax.servlet.jsp.jstl:javax.servlet.jsp.jstl-api:jar:${jstl.version} is missing, no dependency information available
2016-10-27 15:56:58,383 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax.servlet.jsp:javax.servlet.jsp-api:jar:${jsp.version} is missing, no dependency information available
2016-10-27 15:56:58,387 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.slf4j:slf4j-api:jar:${slf4j.version} is missing, no dependency information available
2016-10-27 15:56:58,388 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ch.qos.logback:logback-classic:jar:${logback.version} is missing, no dependency information available
2016-10-27 15:56:58,394 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.hibernate:hibernate-entitymanager:jar:${hibernate.version} is missing, no dependency information available
2016-10-27 15:56:58,395 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-test:jar:${spring-framework.version} is missing, no dependency information available
2016-10-27 15:56:58,396 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for junit:junit:jar:${junit.version} is missing, no dependency information available
2016-10-27 15:56:59,002 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring-webmvc/${org.springframework.version}/spring-webmvc-${org.springframework.version}.jar
2016-10-27 15:56:59,009 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-webmvc:jar:${org.springframework.version} is missing, no dependency information available
2016-10-27 15:56:59,050 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax.servlet:javax.servlet-api:jar:${servlet.version} is missing, no dependency information available
2016-10-27 15:56:59,051 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax.servlet.jsp.jstl:javax.servlet.jsp.jstl-api:jar:${jstl.version} is missing, no dependency information available
2016-10-27 15:56:59,052 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax.servlet.jsp:javax.servlet.jsp-api:jar:${jsp.version} is missing, no dependency information available
2016-10-27 15:56:59,052 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.slf4j:slf4j-api:jar:${slf4j.version} is missing, no dependency information available
2016-10-27 15:56:59,053 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ch.qos.logback:logback-classic:jar:${logback.version} is missing, no dependency information available
2016-10-27 15:56:59,057 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.hibernate:hibernate-entitymanager:jar:${hibernate.version} is missing, no dependency information available
2016-10-27 15:56:59,058 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-test:jar:${spring-framework.version} is missing, no dependency information available
2016-10-27 15:56:59,059 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for junit:junit:jar:${junit.version} is missing, no dependency information available
2016-10-27 15:56:59,314 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-27 15:56:59,315 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-10-27 15:56:59,316 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-27 15:56:59,317 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-10-27 15:56:59,317 [Worker-21] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of final_project
2016-10-27 15:56:59,317 [Worker-21] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for final_project
2016-10-27 15:56:59,319 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-27 15:57:00,661 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-webmvc:jar:${org.springframework.version} is missing, no dependency information available
2016-10-27 15:57:00,772 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax.servlet:javax.servlet-api:jar:${servlet.version} is missing, no dependency information available
2016-10-27 15:57:00,773 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax.servlet.jsp.jstl:javax.servlet.jsp.jstl-api:jar:${jstl.version} is missing, no dependency information available
2016-10-27 15:57:00,775 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax.servlet.jsp:javax.servlet.jsp-api:jar:${jsp.version} is missing, no dependency information available
2016-10-27 15:57:00,776 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.slf4j:slf4j-api:jar:${slf4j.version} is missing, no dependency information available
2016-10-27 15:57:00,777 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ch.qos.logback:logback-classic:jar:${logback.version} is missing, no dependency information available
2016-10-27 15:57:00,782 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.hibernate:hibernate-entitymanager:jar:${hibernate.version} is missing, no dependency information available
2016-10-27 15:57:00,783 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-test:jar:${spring-framework.version} is missing, no dependency information available
2016-10-27 15:57:00,783 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for junit:junit:jar:${junit.version} is missing, no dependency information available
